time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,qw,qx,qy,qz,p_radps,q_radps,r_radps,mass_kg,throttle,gimbal_pitch_rad,gimbal_yaw_rad,dynamic_pressure_pa
0.5,11.414839100243967,-7.758707713867363,110.62595348554395,-1.3784902721415482,0.3480919324420141,-19.230301854215785,0.9986320172924616,0.03644836804162541,0.03615036218692887,0.009937898130118967,0.025707452962081163,0.7053593452750432,-0.00376861133069784,1248.3750112498092,0.606654739486213,-0.13962634015954636,0.0071816337177233736,229.87007011479997
0.55,11.345371234717549,-7.742075096868332,109.66335039558739,-1.3974788058790226,0.3170202530954913,-19.271717240505293,0.9977305965187878,0.03694722001959414,0.055298975484499135,0.010515845826773949,0.030349157320032176,0.8288717204659664,-0.0037340351456839798,1248.1769932650268,0.6230544811442296,-0.13962634015954636,0.007244393871711885,230.9278960049465
0.6000000000000001,11.275396852983754,-7.727025010189675,108.69898176705397,-1.39811950538224,0.28479067323620855,-19.301145961865338,0.9962204470377322,0.03751458626884029,0.07753748826202018,0.011198867578280083,0.03510525595311454,0.9549511103014033,-0.003699645294090132,1247.973840718325,0.638560461064024,-0.13962634015954636,0.007271764152706875,231.64149323136635
0.65,11.205929380359127,-7.7136151328964955,107.73341061417517,-1.3765466224584664,0.25141663700611006,-19.320102791544038,0.9938876144089244,0.03814436887728161,0.10290162544609191,0.011986347568930106,0.039943514392675676,1.0833751023612102,-0.0036654916510968226,1247.76582487511,0.6532802823186744,-0.13962634015954636,0.007281315707878405,232.03031243343304
0.7000000000000001,11.138178783659919,-7.7019017001092225,106.76711431788277,-1.3287727024368214,0.21694345085865802,-19.330510177914448,0.990483946790798,0.038828312539537474,0.13140815104460488,0.012876767222174106,0.044847156842241755,1.2139484872792137,-0.003631618611756264,1247.5531773378566,0.667353626800414,-0.13962634015954636,0.007287903019739486,232.1253778633203
0.75,11.073556321270885,-7.6919377671103035,105.80046246683025,-1.2507433211765486,0.18145388559965994,-19.334769063542673,0.985726771590549,0.03955623372250515,0.1630513005272767,0.013867571515154869,0.04981361280709706,1.346510781929394,-0.0035980634237980196,1247.3360788067316,0.6809578963389047,-0.13962634015954636,0.007303187015680751,231.97216005568433
0.8,11.01367635943594,-7.683771208797397,104.83369119141754,-1.1383996539302108,0.14507318303276248,-19.335828268105754,0.9792990393876937,0.04031620124647991,0.19779874492957022,0.014954995007702424,0.05485252145916122,1.4809448282932112,-0.0035648542003921457,1247.1146460338355,0.6943137846570523,-0.13962634015954636,0.007335460887054668,231.63365028455206
0.8500000000000001,10.960354870429786,-7.677442480231414,103.86687406742814,-0.987748591432892,0.10797364020534761,-19.33725239120866,0.9708499606168968,0.041094651744209926,0.23558710162624338,0.01613384999118721,0.059983338667580155,1.6171864010309704,-0.0035320076064286592,1246.8889169959232,0.7076907752989755,-0.13962634015954636,0.007389706756287126,231.19363351183318
0.9,10.915604238319348,-7.672982153580907,102.89988964383193,-0.7949403606894232,0.07037901608652739,-19.343289199018198,0.9599961527439643,0.04187643078697592,0.27631700239035717,0.01739728287227531,0.06523283941861274,1.7552347501863708,-0.0034995262113552594,1246.6588343001788,0.7214126372140357,-0.13962634015954636,0.00746780737552416,230.76018088189636
0.9500000000000001,10.88162398310043,-7.670408232709583,101.93238557198484,-0.5563543982808156,0.03256907839797459,-19.35893864285106,0.9463233091473059,0.04264475642891803,0.31984771781773363,0.018736507689482467,0.07063273101786016,1.8951640167589816,-0.0034673954977555176,1246.4242268002286,0.7358630800889479,-0.13962634015954636,0.007568841428977957,230.46941570774652
1.0,10.86078694153027,-7.669723228909542,100.96373917549472,-0.26869577106508097,-0.005115317342817914,-19.39002686683341,0.9293883980545398,0.04338110616486299,0.3659913173047323,0.020140527477597828,0.07621750175777718,2.037135491958941,-0.0034355805075370195,1246.184789332291,0.7514918242880514,-0.13962634015954636,0.007689401343560984,230.48964523800913
1.05,10.855620269721186,-7.670910959880321,99.99301410586517,0.07089303970488947,-0.04226615398368177,-19.443289550815162,0.9087224038051832,0.04406503077586167,0.41450631469225596,0.02159585528513484,0.08202253526027416,2.1814107474914772,-0.0034040220976246896,1245.9400603862284,0.7688214167106948,-0.13962634015954636,0.00782388683771447,231.02598779494218
1.1,10.86878030434235,-7.67393300947712,99.0189124982126,0.46469646143760573,-0.07840066812038268,-19.526469339083963,0.8838336373013285,0.04467389951611114,0.4650907109947328,0.023086247489406637,0.08808242928449361,2.328365741863741,-0.0033726327666413008,1245.689397412727,0.788455156035971,-0.13962634015954636,0.007964744588306455,232.3256498381643
