run_id,group,scenario,description,success,failure_modes,yaw_excluded_from_success_criteria,touchdown_time_s,vertical_touchdown_velocity_mps,horizontal_touchdown_velocity_mps,touchdown_speed_mps,tilt_angle_deg,angular_rate_norm_radps,landing_position_error_m,fuel_used_kg,final_mass_kg,fuel_margin_kg,max_dynamic_pressure_pa,saturation_fraction,oscillation_count,final_altitude_m,seed,duration_s,requested_duration_s,termination_reason,touchdown_detected,final_downrange_error_m,final_speed_mps
disturbance_sweep__misalign_0p25deg,disturbance_sweep,misalign_0p25deg,Disturbance sweep fixed thrust misalignment 0.25 deg.,True,none,True,9.540000000000001,-0.653900399671035,0.03743006407815362,0.6549707950640502,0.11378373760103923,0.0020520034518564443,0.025341558145005622,49.162064297327106,1200.837935702673,350.8379357026729,322.1439252003294,0.14853556485355648,0.0,0.0,7.0,9.540000000000001,45.0,touchdown,True,0.025341558145005622,0.6549707950640502
disturbance_sweep__misalign_0p50deg,disturbance_sweep,misalign_0p50deg,Disturbance sweep fixed thrust misalignment 0.50 deg.,True,none,True,9.52,-0.6956839938878202,0.03774057441571956,0.6967069472231041,0.11482364159101922,0.0020580387961946413,0.011572944682621999,49.08416834887248,1200.9158316511275,350.9158316511275,322.14225716425324,0.1488469601677149,0.0,0.0,7.0,9.52,45.0,touchdown,True,0.011572944682621999,0.6967069472231041
disturbance_sweep__misalign_1p00deg,disturbance_sweep,misalign_1p00deg,Disturbance sweep fixed thrust misalignment 1.00 deg.,True,none,True,9.52,-0.6922635031770349,0.037276264814943026,0.6932663829650868,0.11341058745855012,0.002046473443026976,0.07636444868647284,49.14950701228054,1200.8504929877195,350.85049298771946,322.1394468667994,0.1530398322851153,0.0,0.0,7.0,9.52,45.0,touchdown,True,0.07636444868647284,0.6932663829650868
scenario_table__nominal,scenario_table,nominal,Nominal descent with mild wind and thrust bias.,True,none,True,9.540000000000001,-0.6542858510416673,0.04010331709429201,0.6555137305314696,0.11121061354571216,0.0019356172397300838,0.047026087539138284,49.145897643029684,1200.8541023569703,350.8541023569703,325.87725504790006,0.14853556485355648,0.0,0.0,7.0,9.540000000000001,45.0,touchdown,True,0.047026087539138284,0.6555137305314696
scenario_table__heavy,scenario_table,heavy,Heavier initial mass near upper fuel state.,True,none,True,9.5,-0.7043745801732588,0.04017629766024203,0.7055194427426781,0.11236996277742267,0.0019483879816359947,0.04684512498982152,52.87085815414889,1297.129141845851,447.1291418458511,326.96103276890256,0.20588235294117646,0.0,0.0,7.0,9.5,45.0,touchdown,True,0.04684512498982152,0.7055194427426781
scenario_table__light,scenario_table,light,Lower initial fuel state with reduced touchdown margin.,True,none,True,9.540000000000001,-0.6697730775161392,0.045396759226998644,0.6713097951868082,0.1223991332641431,0.0019762897750577714,0.05695923332225797,37.40528156234666,912.5947184376533,62.59471843765334,332.29852748213904,0.15271966527196654,0.0,0.0,7.0,9.540000000000001,45.0,touchdown,True,0.05695923332225797,0.6713097951868082
scenario_table__crosswind,scenario_table,crosswind,Persistent crosswind from inertial +x.,True,none,True,9.540000000000001,-0.6545848242114325,0.04244214838141379,0.6559593188964861,0.07620313501201353,0.0017613098428076155,0.06545395017829957,49.12343050090567,1200.8765694990943,350.87656949909433,343.3110412156736,0.14853556485355648,0.0,0.0,7.0,9.540000000000001,45.0,touchdown,True,0.06545395017829957,0.6559593188964861
scenario_table__gust,scenario_table,gust,Sinusoidal gusting wind in lateral axes.,True,none,True,9.540000000000001,-0.6543956182103694,0.03861320249531843,0.6555338317279101,0.09374816175445332,0.0020301463140137473,0.0499477783688384,49.13731688396865,1200.8626831160313,350.86268311603135,331.19700314036754,0.14853556485355648,0.0,0.0,7.0,9.540000000000001,45.0,touchdown,True,0.0499477783688384,0.6555338317279101
scenario_table__misalignment,scenario_table,misalignment,One-degree fixed thrust misalignment.,True,none,True,9.52,-0.6922247058058165,0.0398944545272139,0.6933733560138962,0.11052502568891379,0.0019282346728354447,0.07106413417324099,49.14247390675382,1200.8575260932462,350.8575260932462,325.8363779207444,0.15723270440251572,0.0,0.0,7.0,9.52,45.0,touchdown,True,0.07106413417324099,0.6933733560138962
scenario_table__high_lateral_offset,scenario_table,high_lateral_offset,Large initial lateral miss distance.,False,hard_touchdown;horizontal_speed;lateral_miss;tilt_over;excess_angular_rate;saturation_driven_instability,True,3.8000000000000003,-46.252058641984966,7.222902444167226,46.8126398351938,74.65092147898244,1.7674859360530075,7.507359466995717,20.405669013981196,1229.5943309860188,379.5943309860188,1355.9389933842522,1.0,0.0,0.0,7.0,3.8000000000000003,45.0,touchdown,True,7.507359466995717,46.8126398351938
scenario_table__high_descent_rate,scenario_table,high_descent_rate,Initial vertical speed faster than nominal.,True,none,True,9.44,-0.6609478277844082,0.03371884630516071,0.6618073674786937,0.09177047935031074,0.0017717215853464128,0.03716743340947271,51.50883287505485,1198.4911671249452,348.49116712494515,362.4935122491484,0.12050739957716702,0.0,0.0,7.0,9.44,45.0,touchdown,True,0.03716743340947271,0.6618073674786937
scenario_table__combined_off_nominal,scenario_table,combined_off_nominal,"Combined mass, wind, misalignment, and lateral offset challenge.",False,hard_touchdown;horizontal_speed;tilt_over;excess_angular_rate;saturation_driven_instability,True,3.9,-46.03926547644721,1.5862097458231588,46.066582540584974,36.69727841288823,1.6620879716388786,1.8513139630809259,22.875952594552928,1302.124047405447,452.1240474054471,1365.860789993332,1.0,0.0,0.0,7.0,3.9,45.0,touchdown,True,1.8513139630809259,46.066582540584974
